Model,Accuracy (%),Precision (%),Recall (%),F1 Score (%),ROC Score (%)
Logistic regression,88.07,77.59,63.38,69.77,79.15
Gaussian naive bayes,91.13,90.38,66.2,76.42,82.12
Decision tree,93.88,84.93,87.32,86.11,91.51
Random forest,96.02,89.19,92.96,91.03,94.92
Support Vector,93.88,83.12,90.14,86.49,92.53
Multinomial naive bayes,84.1,72.09,43.66,54.39,69.49
Multi-layer perceptron,82.57,88.89,22.54,35.96,60.88
Linear support vector,93.27,91.53,76.06,83.08,87.05
K-nearest neighbors,87.16,74.58,61.97,67.69,78.06
Gradient boosting,95.41,88.89,90.14,89.51,93.51
Extra tree,95.11,96.61,80.28,87.69,89.75
Bernoulli naive bayes,73.09,40.86,53.52,46.34,66.02
AdaBoost,95.11,83.95,95.77,89.47,95.35
